originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ALB,LIT,Table 6,20082,01580,50670,"Albany, New York, USA","Little Rock, Arkansas, USA",1135,17.472527473,203.83169811,US,22.641509434,226.36055556,NW,12.578616352,138.1965,101
ALB,LAX,Table 6,20082,01580,51410,"Albany, New York, USA","Los Angeles, California, USA",2467,187.36263736,240.15116716,UA,32.19941349,246.30528233,CO,17.478005865,219.50090604,102
ALB,SDF,Table 6,20082,01580,51510,"Albany, New York, USA","Louisville, Kentucky, USA",703,44.285714286,182.87957816,WN,24.565756824,199.14717172,NW,24.317617866,116.88602041,103
ALB,MSN,Table 6,20082,01580,52470,"Albany, New York, USA","Madison, Wisconsin, USA",787,15.164835165,290.49072464,NW,47.826086957,297.07439394,UA,30.434782609,247.53190476,104
ALB,MEM,Table 6,20082,01580,57180,"Albany, New York, USA","Memphis, Tennessee, USA",1018,16.923076923,413.66603896,NW,44.155844156,413.35705882,NW,44.155844156,413.35705882,105
ALB,MIA,Table 6,20082,01580,57560,"Albany, New York, USA","Miami, Florida, USA",1225,36.813186813,225.55462687,US,49.552238806,221.50180723,UA,13.134328358,200.42977273,106
ALB,MKE,Table 6,20082,01580,57850,"Albany, New York, USA","Milwaukee, Wisconsin, USA",715,24.615384615,327.22227679,NW,48.660714286,283.83155963,NW,48.660714286,283.83155963,107
ALB,MSP,Table 6,20082,01580,57970,"Albany, New York, USA","Minneapolis/St.Paul, Minnesota, USA",979,93.076923077,322.08249115,NW,55.253837072,325.97401709,UA,24.203069658,311.53146341,108
ALB,MYR,Table 6,20082,01580,61830,"Albany, New York, USA","Myrtle Beach, South Carolina, USA",684,34.615384615,212.33739683,US,63.174603175,217.26944724,UA,17.142857143,191.15888889,109
ALB,BNA,Table 6,20082,01580,62860,"Albany, New York, USA","Nashville, Tennessee, USA",825,101.64835165,175.48307027,WN,50.27027027,172.16787097,NW,11.135135135,139.1068932,110
ALB,MSY,Table 6,20082,01580,63580,"Albany, New York, USA","New Orleans, Louisiana, USA",1266,56.043956044,212.51809804,US,34.509803922,206.04210227,UA,14.31372549,196.34890411,111
ALB,PHF,Table 6,20082,01580,63680,"Albany, New York, USA","Newport News/Wmsburg, Virginia, USA",413,10,194.16461538,US,98.901098901,193.55633333,US,98.901098901,193.55633333,112
ALB,LGA,Table 6,20082,01580,63760,"Albany, New York, USA","New York, New York, USA",145,32.527472527,267.23327703,CO,38.175675676,279.47389381,US,30.067567568,254.00674157,113
ALB,ORF,Table 6,20082,01580,64500,"Albany, New York, USA","Norfolk, Virginia, USA",423,56.483516484,166.48042802,WN,54.6692607,153.00786477,WN,54.6692607,153.00786477,114
ALB,OAK,Table 6,20082,01580,65420,"Albany, New York, USA","Oakland, California, USA",2548,27.472527473,237.64732,WN,86.4,229.41240741,CO,2.8,177.78857143,115
ALB,OKC,Table 6,20082,01580,65840,"Albany, New York, USA","Oklahoma City, Oklahoma, USA",1371,27.802197802,234.69731225,NW,26.482213439,167.90044776,NW,26.482213439,167.90044776,116
ALB,OMA,Table 6,20082,01580,66060,"Albany, New York, USA","Omaha, Nebraska, USA",1138,26.483516484,197.96659751,NW,28.630705394,163.31565217,NW,28.630705394,163.31565217,117
